product_id,name,category,subcategory,base_price,cost_price,created_at,is_active
PRD001,Wireless Headphones,Electronics,Audio,49.99,20.00,2025-01-01 00:00:00,true
PRD002,Mechanical Keyboard,Electronics,Peripherals,99.99,45.00,2025-01-01 00:00:00,true
PRD003,Yoga Mat,Sports,Fitness,29.99,10.00,2025-01-01 00:00:00,true
PRD004,Running Shoes,Sports,Footwear,149.99,70.00,2025-01-01 00:00:00,true
PRD005,Notebook Pack,Stationery,Writing,19.99,5.00,2025-01-01 00:00:00,true
PRD006,Bluetooth Speaker,Electronics,Audio,79.99,35.00,2025-02-01 00:00:00,true
PRD007,Gaming Mouse,Electronics,Peripherals,59.99,25.00,2025-02-01 00:00:00,true
PRD008,Resistance Bands,Sports,Fitness,24.99,8.00,2025-02-01 00:00:00,true
PRD009,Hiking Boots,Sports,Footwear,199.99,90.00,2025-02-01 00:00:00,true
PRD010,Gel Pens Set,Stationery,Writing,14.99,4.00,2025-02-01 00:00:00,true
PRD011,Noise Cancelling Earbuds,Electronics,Audio,129.99,55.00,2025-03-01 00:00:00,true
PRD012,USB Hub,Electronics,Peripherals,39.99,15.00,2025-03-01 00:00:00,true
PRD013,Foam Roller,Sports,Fitness,34.99,12.00,2025-03-01 00:00:00,true
PRD014,Sports Sneakers,Sports,Footwear,89.99,40.00,2025-03-01 00:00:00,true
PRD015,Sticky Notes Bundle,Stationery,Writing,9.99,2.00,2025-03-01 00:00:00,true
PRD016,Smart Watch,Electronics,Wearables,249.99,110.00,2025-04-01 00:00:00,true
PRD017,Laptop Stand,Electronics,Peripherals,44.99,18.00,2025-04-01 00:00:00,true
PRD018,Jump Rope,Sports,Fitness,12.99,3.00,2025-04-01 00:00:00,true
PRD019,Trail Running Shoes,Sports,Footwear,179.99,80.00,2025-04-01 00:00:00,true
PRD020,Planner Journal,Stationery,Writing,22.99,6.00,2025-04-01 00:00:00,true
